"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5865" "2011-10-28" 20111028 31 1285.09 1131.42 0.00387163452380952 0.0235278 0.166666666666667 0.0833333333333333 0.363274523809524 169.434250206431 21 45.5380082816835 0.147530697224561 0.110870870336731 0.0998906336591438 0.146225495451084 0.0927021645422861 0.183200866480118
"5868" "2011-10-31" 20111031 31 1253.3 1131.42 0.00397147178571429 0.02370457 0.162698412698413 0.0873015873015873 0.381441 146.422487585538 22 45.5380082816835 0.244241618004666 0.232070274306085 0.0815061996973425 0.138872535488348 0.229109856412371 0.183009624130117
"5871" "2011-11-01" 20111101 31 1218.28 1131.42 0.00396772714285714 0.02370928 0.158730158730159 0.0912698412698413 0.382072238095238 120.15944351536 23 45.5380082816835 0.493309857445392 0.453031512586181 0.213140244998306 0.280441987105621 0.361086824472839 0.185167853703101
"5874" "2011-11-02" 20111102 31 1237.9 1131.42 0.00399657924149659 0.02379842 0.154761904761905 0.0952380952380952 0.382703476190476 133.705134206903 24 45.5380082816835 0.286436711073072 0.123733486584447 0.163397026308592 0.210368734181378 0.226859071853575 0.179182639901624
"5877" "2011-11-03" 20111103 31 1261.15 1131.42 0.00400103567346939 0.02379384 0.150793650793651 0.0992063492063492 0.383334714285714 150.817446402841 25 45.5380082816835 0.25106006922006 0.14227731619882 0.139589575567445 0.189290151527047 0.143470115368498 0.180094298544202
"5880" "2011-11-04" 20111104 31 1253.23 1131.42 0.00399197004081633 0.0239369 0.146825396825397 0.103174603174603 0.383965952380952 144.088606006561 26 45.5380082816835 0.197019270430429 0.167535071459452 0.118312793289536 0.157727299782606 0.199677106674214 0.166059993084865
"5883" "2011-11-07" 20111107 31 1261.12 1131.42 0.00411078585034014 0.02391736 0.142857142857143 0.107142857142857 0.384597190476191 149.669353007481 27 45.5380082816835 0.154322435911768 0.0997033270537927 0.103471795695554 0.146535178794488 0.180675184947097 0.159935950111255
"5886" "2011-11-08" 20111108 31 1275.92 1131.42 0.00412779415306122 0.02381699 0.138888888888889 0.111111111111111 0.385228428571429 160.945055790066 28 45.5380082816835 0.176837329239197 0.105038525792936 0.129165567250106 0.166121640960164 0.175983899456116 0.152983333430244
"5889" "2011-11-09" 20111109 31 1229.1 1131.42 0.00326819142857143 0.02373617 0.134920634920635 0.115079365079365 0.385859666666667 123.995938977829 29 45.5380082816835 0.38631552338545 0.367956148463601 0.14358037131 0.197888233972664 0.385833288891067 0.151765592841654
"5892" "2011-11-10" 20111110 31 1239.7 1131.42 0.00324364217687075 0.02371163 0.130952380952381 0.119047619047619 0.386490904761905 131.247707467142 30 45.5380082816835 0.26085563575195 0.136138061138931 0.162042242546876 0.207840374682953 0.173625904774398 0.151854248465447
"5895" "2011-11-11" 20111111 31 1263.85 1131.42 0.00321956428571429 0.02373615 0.126984126984127 0.123015873015873 0.387122142857143 149.438316924754 31 45.5380082816835 0.216419597315686 0.0496739387091313 0.0660375048236904 0.107240981632087 0.22842277668178 0.151616115148172
